date,datatype_temp,station,attributes_temp,value_temp,datatype_wx,attributes_wx,value_wx,date_only,station_name,latitude,longitude,elevation
2018-10-01,TAVG,GHCND:USW00014732,"H,,S,",21.2,AWND,",,W,",3.1,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TAVG,GHCND:USW00014732,"H,,S,",21.2,PRCP,",,W,2400",0.0,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TAVG,GHCND:USW00014732,"H,,S,",21.2,SNOW,",,W,",0.0,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TAVG,GHCND:USW00014732,"H,,S,",21.2,SNWD,",,W,2400",0.0,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TAVG,GHCND:USW00014732,"H,,S,",21.2,TAVG,"H,,S,",21.2,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TAVG,GHCND:USW00014732,"H,,S,",21.2,TMAX,",,W,2400",25.6,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TAVG,GHCND:USW00014732,"H,,S,",21.2,TMIN,",,W,2400",18.3,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TAVG,GHCND:USW00014732,"H,,S,",21.2,WDF2,",,W,",220.0,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TAVG,GHCND:USW00014732,"H,,S,",21.2,WDF5,",,W,",240.0,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TAVG,GHCND:USW00014732,"H,,S,",21.2,WSF2,",,W,",7.2,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TAVG,GHCND:USW00014732,"H,,S,",21.2,WSF5,",,W,",9.4,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMAX,GHCND:USW00014732,",,W,2400",25.6,AWND,",,W,",3.1,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMAX,GHCND:USW00014732,",,W,2400",25.6,PRCP,",,W,2400",0.0,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMAX,GHCND:USW00014732,",,W,2400",25.6,SNOW,",,W,",0.0,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMAX,GHCND:USW00014732,",,W,2400",25.6,SNWD,",,W,2400",0.0,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMAX,GHCND:USW00014732,",,W,2400",25.6,TAVG,"H,,S,",21.2,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMAX,GHCND:USW00014732,",,W,2400",25.6,TMAX,",,W,2400",25.6,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMAX,GHCND:USW00014732,",,W,2400",25.6,TMIN,",,W,2400",18.3,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMAX,GHCND:USW00014732,",,W,2400",25.6,WDF2,",,W,",220.0,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMAX,GHCND:USW00014732,",,W,2400",25.6,WDF5,",,W,",240.0,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMAX,GHCND:USW00014732,",,W,2400",25.6,WSF2,",,W,",7.2,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMAX,GHCND:USW00014732,",,W,2400",25.6,WSF5,",,W,",9.4,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMIN,GHCND:USW00014732,",,W,2400",18.3,AWND,",,W,",3.1,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMIN,GHCND:USW00014732,",,W,2400",18.3,PRCP,",,W,2400",0.0,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMIN,GHCND:USW00014732,",,W,2400",18.3,SNOW,",,W,",0.0,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMIN,GHCND:USW00014732,",,W,2400",18.3,SNWD,",,W,2400",0.0,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMIN,GHCND:USW00014732,",,W,2400",18.3,TAVG,"H,,S,",21.2,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-01,TMIN,GHCND:USW00014732,",,W,2400",18.3,TMAX,",,W,2400",25.6,2018-10-01,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
